rowID;ref_Label;gz_id;lugar_nombre;lugar_variantes;toponym-match;toponym-score;saint-match;category-match;territories-match;phase-1-outcome;ref_START;ref_END;ref_Partido;ref_Obispado;ref_Audiencia;manual_region;manual_province;manual_district;manual_ciudad_villa_only
201;Velinga;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
202;Andahuaylas;6000395;San Pedro Andahuaylas;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1771.0;1771.0;;Huamanga;;;;;False
203;Sondondo;6000534;Sondondo;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1772.0;1772.0;Lucanas;;;;;;False
204;Caylloma;6000070;Asiento de Caylloma;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1772.0;1772.0;;Arequipa;;;;;False
205;Quechualla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
206;Celendin;6001246;Celendin;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1773.0;1773.0;Cajamarca;;;;;;False
207;Callalli;6000073;Callalli;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1773.0;1773.0;Caylloma;;;;;;False
208;Chuco;6001335;Santiago de Chuco;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1773.0;1773.0;Huamachuco;;;;;;False
209;Pampas Huanchay;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
210;Pocsi;6000124;Pocsi;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1774.0;1774.0;Moquegua;;;;;;False
211;Huaylas;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
212;Huamalies;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
213;Sicasica;8000034;Sicasica;Sica Sica @;toponym_label;1;saint_null;category_null;matched;auto_adopt;1774.0;1774.0;;La Plata;;;;;False
214;Chuco;6001335;Santiago de Chuco;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1774.0;1774.0;Huamachuco;;;;;;False
215;Camana;6000055;Camana;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1779.0;1779.0;;Arequipa;;;;;False
216;Lucanas;6000495;San Juan Lucanas;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1779.0;1779.0;;Huamanga;;;;;False
217;Puno;8000002;San Carlos de Puno;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1779.0;1779.0;Paucarcolla;;;;;;False
218;Paucarcolla;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
219;Azangaro;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
220;Paria;8000049;San Ildefonso Paria;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1779.0;1779.0;;La Plata;;;;;False
221;Conchucos;6001033;Conchucos;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1779.0;1779.0;;Lima;;;;;False
222;Urubamba;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
223;Aymaraes;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
224;Chaca;9900191;Chaca;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1779.0;1779.0;;;Lima;;;;False
225;Tinta;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
226;Cotabambas;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
227;Parinacochas;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
228;Huanta;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
229;Tambo;;;;;0;;;no_matches_all_levels;relegated;;;;;;;;;False
230;Caraveli;6000059;Caraveli;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1779.0;1779.0;Camana;;;;;;False
231;Usmagama;6001506;Usmagama;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1779.0;1779.0;Tarapaca;;;;;;False
232;Majes;6001505;Valle de Majes;Mages;toponym_variante;1;saint_null;category_null;matched;adopted_candidate;1779.0;1779.0;Camana;;;;;;False
233;San Juan;6000351;San Juan;;toponym_label;1;saint_mismatch;category_null;matched;adopted_candidate;1775.0;1775.0;Quispicanchis;;;;;;False
234;Quiquijana;6000334;Quiquijana;;toponym_label;1;saint_null;category_null;matched;auto_adopt;1775.0;1775.0;Quispicanchis;;;;;;False
