id_i;ref_START;ref_END;Type;ref_Label;Territory;Location2;Location3;Location4;ref_Jurisdiccion;Region;Country;NAME_2;Motive;Details;Source;Unnamed: 16;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;Unnamed: 24;ID_3;NAME_3;rowID
96;1777;1777;Rebellion or revolt;La Paz;;;;;;CHA;Bolivia;;against alcabalas;;O'Phelan, p. 286;;;;;;;;;;;;105
97;1777;1777;Rebellion or revolt;Velille;;;;;Chumbivilcas;PER;;Chumbivilcas;by Indians;against reparto, homicide of corregidor;O'Phelan, p. 286;;726;178;PER;Peru;8;Cusco;73;;726;Velille;106
98;1779;1779;Rebellion or revolt;Yungay;;;;;;PER;;Yungay;by Indians;attack of receptor de alcabalas;O'Phelan, p. 286;;249;178;PER;Peru;2;Ancash;27;;249;Yungay;107
99;1779;1779;Rebellion or revolt;Huaraz;;;;;;PER;;Huaraz;against revisita;;O'Phelan, p. 286;;140;178;PER;Peru;2;Ancash;16;;140;Huaraz;108
100;1780;1780;Rebellion or revolt;Arequipa;;;;;;PER;;Arequipa;against Aduana;;O'Phelan, p. 286;;331;178;PER;Peru;4;Arequipa;35;;331;Arequipa;109
101;1780;1780;Rebellion or revolt;Caylloma;;;;;;PER;;Caylloma;against revisita and alcabala;;O'Phelan, p. 286;;398;178;PER;Peru;4;Arequipa;39;;398;Caylloma;110
102;1780;1780;Rebellion or revolt;Moquegua;;;;;;PER;;Mariscal Nieto;against revista;;O'Phelan, p. 286;;1480;178;PER;Peru;19;Moquegua;149;;1480;Moquegua;111
103;1780;1780;Rebellion or revolt;Yungay;;;;;;PER;;Yungay;against alcabala and registration;;O'Phelan, p. 286;;249;178;PER;Peru;2;Ancash;27;;249;Yungay;112
103;1780;1780;Rebellion or revolt;Caraz;;;;;;PER;;Huaylas;;;O'Phelan, p. 286;;170;178;PER;Peru;2;Ancash;19;;170;Caraz;113
104;1780;1780;Rebellion or revolt;Huaraz;;;;;;PER;;Huaraz;against alcabala, revisita;;O'Phelan, p. 286;;140;178;PER;Peru;2;Ancash;16;;140;Huaraz;114
105;1780;1780;Rebellion or revolt;Pasco;;;;;;PER;;Pasco;against administrador de alcabalas;;O'Phelan, p. 286;;1499;178;PER;Peru;20;Pasco;152;;1499;Chaupimarca;115
106;1780;1780;Rebellion or revolt;La Paz;;;;;;CHA;Bolivia;;against Aduana;;O'Phelan, p. 286;;;;;;;;;;;;116
107;1780;1780;Rebellion or revolt;Chongos;;;;;Jauja;PER;;Pataz;against cajero;;O'Phelan, p. 286;;1171;178;PER;Peru;13;La Libertad;120;;1171;Tayabamba;117
107;1780;1780;Rebellion or revolt;Mito;;;;;Jauja;PER;;Concepcion;;;O'Phelan, p. 286;;1022;178;PER;Peru;12;Junin;106;;1022;Mito;118
108;1780;1780;Rebellion or revolt;Chayanta;;;;;;CHA;Bolivia;;against corregidor;;O'Phelan, p. 286;;;;;;;;;;;;119
109;1780;1780;Rebellion or revolt;Otuzco;;;;;;PER;;Otuzco;against revisita;;O'Phelan, p. 286;;1150;178;PER;Peru;13;La Libertad;118;;1150;Otuzco;120
110;1780;1780;Rebellion or revolt;Huamachuco;;;;;;PER;;Sánchez Carrión;against revisita;;O'Phelan, p. 286;;1176;178;PER;Peru;13;La Libertad;121;;1176;Huamachuco;121
111;1780;1780;Rebellion or revolt;Huamanga;;;;;;PER;;Huamanga;against corregidor;;O'Phelan, p. 286;;447;178;PER;Peru;5;Ayacucho;44;;447;Ayacucho;122
112;1780;1780;Rebellion or revolt;Tinta;;;;;;PER;;Canchis;led by Tupac Amaru;against alcabalas, repartos, tributos, mitas.;O'Phelan, p. 286;;718;178;PER;Peru;8;Cusco;72;;718;Tinta;123
113;1780;1780;Rebellion or revolt;Quipicanchis;;;;;;PER;;Quispicanchi;several villages in Quispicanchis;;O'Phelan, p. 286;;777;178;PER;Peru;8;Cusco;79;;777;Oropesa;124
114;1780;1780;Rebellion or revolt;Chumbivilcas;;;;;;PER;;Chumbivilcas;113 spread to the province ;;O'Phelan, p. 286;;725;178;PER;Peru;8;Cusco;73;;725;Santo Tomas;125
115;1780;1780;Rebellion or revolt;Condoroma;;;;;;PER;;Espinar;113 spread to mines of Condoroma;;O'Phelan, p. 286;;736;178;PER;Peru;8;Cusco;75;;736;Condoroma;126
116;1780;1780;Rebellion or revolt;Carabaya;;;;;;PER;;Carabaya;113 spread to villages in Carabaya;;O'Phelan, p. 286;;1598;178;PER;Peru;22;Puno;162;;1598;Macusani;127
117;1780;1780;Rebellion or revolt;Paucartambo;;;;;;PER;;Paucartambo;113 spread to Paucartambo;;O'Phelan, p. 286;;767;178;PER;Peru;8;Cusco;78;;767;Paucartambo;128
118;1780;1780;Rebellion or revolt;Paruro;;;;;;PER;;Paruro;113 spread to Paruro;;O'Phelan, p. 286;;759;178;PER;Peru;8;Cusco;77;;759;Paruro;129
119;1780;1780;Rebellion or revolt;Lampa;;;;;;PER;;Lampa;113 spread to Lampa;;O'Phelan, p. 286;;1625;178;PER;Peru;22;Puno;167;;1625;Lampa;130
