id_i;1779;END_;Type;Location1;Territory;Location2;Location3;Location4;Province;Region;Country;NAME_2;Motive;Details;Source;;OBJECTID;ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;;ID_3;NAME_3
116;1780;1780;Rebellion or revolt;Carabaya;;;;;;Peru;;Carabaya;113 spread to villages in Carabaya;;O'Phelan, p. 286;;1598;178;PER;Peru;22;Puno;162;;1598;Macusani
117;1780;1780;Rebellion or revolt;Paucartambo;;;;;;Peru;;Paucartambo;113 spread to Paucartambo;;O'Phelan, p. 286;;767;178;PER;Peru;8;Cusco;78;;767;Paucartambo
118;1780;1780;Rebellion or revolt;Paruro;;;;;;Peru;;Paruro;113 spread to Paruro;;O'Phelan, p. 286;;759;178;PER;Peru;8;Cusco;77;;759;Paruro
119;1780;1780;Rebellion or revolt;Lampa;;;;;;Peru;;Lampa;113 spread to Lampa;;O'Phelan, p. 286;;1625;178;PER;Peru;22;Puno;167;;1625;Lampa
120;1780;1780;Rebellion or revolt;Azangaro;;;;;;Peru;;Azángaro;113 spread;;O'Phelan, p. 286;;1579;178;PER;Peru;22;Puno;161;;1579;Azangaro
121;1780;1780;Rebellion or revolt;Chucuito;;;;;;Peru;;Puno;113 spread;;O'Phelan, p. 286;;1650;178;PER;Peru;22;Puno;170;;1650;Chucuito
122;1780;1780;Rebellion or revolt;Paucarcolla;;;;;;Peru;;Puno;113 spread;;O'Phelan, p. 286;;1655;178;PER;Peru;22;Puno;170;;1655;Paucarcolla
123;1781;1781;Rebellion or revolt;Paria;;;;;;Peru;;;113 spread;homicide of corregidor;O'Phelan, p. 286;;;;;;;;;;;
124;1781;1781;Rebellion or revolt;Chuquisaca;;;;;;Charcas;Bolivia;;unrest in Chuquisaca;;O'Phelan, p. 286;;;;;;;;;;;
125;1781;1781;Rebellion or revolt;Cochabamba;;;;;;Charcas;Bolivia;;against Aduana;;O'Phelan, p. 286;;;;;;;;;;;
