START;END_;Tipo;Label;Nombre;Variantes;Entidad_ID;Nivel
1111;9999;Partido;Misiones capuchinas;Guayana interior;Guayana interior @  Capuchinos catalanes;PTVEGUCC;Partido
1111;9999;Partido;Valle Central;Valle Central;Valle Central @;PTGUCRVC;Partido
1111;9999;Partido;Valle de Matina;Valle de Matina;Valle de Matina @ Matina;PTGUCRVM;Partido
1111;9999;Partido;Valles de Caucagua;Valles de Caucagua;Valles de Caucagua @ Valles de Guarenas;PTVECAGU;Partido
1111;9999;Partido;Valles de Tuy;Valles de Tuy;Valles de Tuy @ Cordillera;PTVECATU;Partido
1496;1799;Gobernacion-Capitania General;Santo Domingo;Santo Domingo;Santo Domingo @ La Española;PRSDSD00;Principal
1496;1799;Gobernacion-Capitania General;Santo Domingo;Santo Domingo;Santo Domingo @ La Española;PRSDSD00;Provincia
1496;1799;Gobernacion-Capitania General;Santo Domingo;Santo Domingo;Santo Domingo @ La Española;PRSDSD00;Provincia_mayor
1496;1799;Gobernacion-Capitania General;Santo Domingo;Santo Domingo;Santo Domingo @ La Española;PRSDSD00;Provincia_menor
1512;1547;Obispado;Santo Domingo;Santo Domingo;Santo Domingo @;OBSDSD00;Arzobispado
1512;1808;Obispado;Puerto Rico;Puerto Rico;Puerto Rico @;OBSDPR00;Obispado
1520;1808;Obispado;Panama;Panama;Panama @;OBNGPA00;Obispado
1522;1524;Jurisdiccion;Espiritu Santo;Espiritu Santo;Acayuca @ Guazacualco @  Coatzacoalcos @ Acayucan @ Goazacoalco;JUNEVCCZ;Jurisdiccion
1522;1524;Jurisdiccion;Espiritu Santo;Espiritu Santo;Acayuca @ Guazacualco @  Coatzacoalcos @ Acayucan @ Goazacoalco;JUNEVCCZ;Provincia_menor
1523;1802;Obispado;Santiago de Cuba;Santiago de Cuba;Santiago de Cuba @;OBSDCU00;Obispado
1524;1528;Provincia;Michoacan;Michoacan;Valladolid @ Michoacan @ Mechoacan @ Tzintzuntzan @ Patzcuaro @ Valladolid y Patzcuaro @ Pasquaro @ Valladolid, Patzcuaro, Jaso y Teremendo;JUNEMIVA;Provincia_menor
1524;1573;Jurisdiccion;Mexico;Mexico;Mexico @;JUNEMXMX;Jurisdiccion
1524;1573;Jurisdiccion;Mexico;Mexico;Mexico @;JUNEMXMX;Provincia_menor
1524;1675;Alcaldia Mayor;Zacatula;Zacatula;Zacatula @;JUNEMXZT;Jurisdiccion
1524;1675;Alcaldia Mayor;Zacatula;Zacatula;Zacatula @;JUNEMXZT;Provincia_menor
1524;1789;Alcaldia Mayor;Colima;Colima;Colima @;JUGDGDCO;Jurisdiccion
1524;1789;Alcaldia Mayor;Colima;Colima;Colima @;JUGDGDCO;Partido
1524;1789;Alcaldia Mayor;Colima;Colima;Colima @;JUGDGDCO;Provincia_menor
1525;1634;Alcaldia Mayor;Espiritu Santo;Espiritu Santo y Guazacualco;Acayuca @ Guazacualco @  Coatzacoalcos @ Acayucan @ Goazacoalco;JUNEVCCZ;Jurisdiccion
1525;1634;Alcaldia Mayor;Espiritu Santo;Espiritu Santo y Guazacualco;Acayuca @ Guazacualco @  Coatzacoalcos @ Acayucan @ Goazacoalco;JUNEVCCZ;Provincia_menor
1525;1776;Gobernacion-Capitania General;Isla Margarita;Isla Margarita;Margarita @ Isla Margarita;PRVEIM00;Jurisdiccion
1525;1776;Gobernacion-Capitania General;Isla Margarita;Isla Margarita;Margarita @ Isla Margarita;PRVEIM00;Partido
1525;1776;Gobernacion-Capitania General;Isla Margarita;Isla Margarita;Margarita @ Isla Margarita;PRVEIM00;Provincia
1525;1776;Gobernacion-Capitania General;Isla Margarita;Isla Margarita;Margarita @ Isla Margarita;PRVEIM00;Provincia_mayor
1525;1776;Gobernacion-Capitania General;Isla Margarita;Isla Margarita;Margarita @ Isla Margarita;PRVEIM00;Provincia_menor
1525;1808;Jurisdiccion;Santa Marta;Santa Marta;Santa Marta @;JUNGSMSM;Jurisdiccion
1525;1808;Jurisdiccion;Santa Marta;Santa Marta;Santa Marta @;JUNGSMSM;Partido
1526;1528;Jurisdiccion;Tehuantepec;Tehuantepec;Tehuantepec @ Tehuantepeque @ Teguantepec @ Teguantepeque @ Tegoantepec;JUNEOATT;Jurisdiccion
1526;1785;Gobernacion;Soconusco;Soconusco;Soconusco @;JUGUCHSO;Jurisdiccion
1526;1785;Gobernacion;Soconusco;Soconusco;Soconusco @;JUGUCHSO;Partido
1526;1785;Gobernacion;Soconusco;Soconusco;Soconusco @;JUGUCHSO;Provincia
1526;1785;Gobernacion;Soconusco;Soconusco;Soconusco @;JUGUCHSO;Provincia_menor
1527;1528;Jurisdiccion;Villa Alta;Villa Alta;Villa Alta @ Villalta @ Zapotecas;JUNEOAVA;Jurisdiccion
1527;1528;Jurisdiccion;Villa Alta;Villa Alta;Villa Alta @ Villalta @ Zapotecas;JUNEOAVA;Provincia_menor
1527;1533;Gobernacion;Panuco;Panuco;Panuco @ Panuco y Tampico @ Tantoyuca;JUNEVCPN;Jurisdiccion
1527;1533;Gobernacion;Panuco;Panuco;Panuco @ Panuco y Tampico @ Tantoyuca;JUNEVCPN;Provincia
1527;1533;Gobernacion;Panuco;Panuco;Panuco @ Panuco y Tampico @ Tantoyuca;JUNEVCPN;Provincia_mayor
1527;1533;Gobernacion;Panuco;Panuco;Panuco @ Panuco y Tampico @ Tantoyuca;JUNEVCPN;Provincia_menor
1527;1539;Gobernacion-Capitania General;Tabasco;Tabasco;Tabasco @;JUNETBTB;Jurisdiccion
1527;1539;Gobernacion-Capitania General;Tabasco;Tabasco;Tabasco @;JUNETBTB;Provincia
1527;1539;Gobernacion-Capitania General;Tabasco;Tabasco;Tabasco @;JUNETBTB;Provincia_mayor
1527;1539;Gobernacion-Capitania General;Tabasco;Tabasco;Tabasco @;JUNETBTB;Provincia_menor
1527;1799;Audiencia Real;Santo Domingo;Santo Domingo;Santo Domingo @;AUSD0000;Audiencia
