OficialID;foreignkey;prefix;prefixurl
1372;bdiazme;cathie;https://www.catholic-hierarchy.org/bishop/
1373;19290;GCath;
1373;bfernddlm;cathie;https://www.catholic-hierarchy.org/bishop/
1374;19291;GCath;
1374;barbizu;cathie;https://www.catholic-hierarchy.org/bishop/
1375;19292;GCath;
1375;bmargar;cathie;https://www.catholic-hierarchy.org/bishop/
1376;19293;GCath;
1376;bgomdsi;cathie;https://www.catholic-hierarchy.org/bishop/
1377;19294;GCath;
1378;19295;GCath;
1378;bcasiani;cathie;https://www.catholic-hierarchy.org/bishop/
1379;19296;GCath;
1379;bcoron;cathie;https://www.catholic-hierarchy.org/bishop/
1380;19297;GCath;
1380;bsotom;cathie;https://www.catholic-hierarchy.org/bishop/
1381;19298;GCath;
1381;btoralt;cathie;https://www.catholic-hierarchy.org/bishop/
1382;19299;GCath;
1382;bvegp;cathie;https://www.catholic-hierarchy.org/bishop/
1383;19300;GCath;
1383;blabr;cathie;https://www.catholic-hierarchy.org/bishop/
1384;19301;GCath;
1384;bdherv;cathie;https://www.catholic-hierarchy.org/bishop/
1385;19302;GCath;
1385;bmontj;cathie;https://www.catholic-hierarchy.org/bishop/
1386;19303;GCath;
1386;bsantd;cathie;https://www.catholic-hierarchy.org/bishop/
1387;19304;GCath;
1387;barev;cathie;https://www.catholic-hierarchy.org/bishop/
1388;19305;GCath;
1388;bsims;cathie;https://www.catholic-hierarchy.org/bishop/
1389;19306;GCath;
1389;bvelf;cathie;https://www.catholic-hierarchy.org/bishop/
1390;19307;GCath;
1390;50564916;viaf;https://viaf.org/viaf/
1390;bdeloayza;cathie;https://www.catholic-hierarchy.org/bishop/
1391;19308;GCath;
1391;brodel;cathie;https://www.catholic-hierarchy.org/bishop/
1392;19309;GCath;
1392;bgutceb;cathie;https://www.catholic-hierarchy.org/bishop/
1393;Diego Morcillo Rubio de Auñón;wiki-es;https://es.wikipedia.org/wiki/
1393;19310;GCath;
1393;bmorrsr;cathie;https://www.catholic-hierarchy.org/bishop/
1394;19311;GCath;
1395;Melchor de Liñán y Cisneros;wiki-es;https://es.wikipedia.org/wiki/
1395;19312;GCath;
